"Kaupunginosa","Postinumero","Huoneisto","Talotyyppi","Asuinala","Huoneita","Velaton_hinta","Neliöhinta","Rakennusvuosi","Hissi","Kunto","Tontti","Energialuokka","Kerroksia","Kerrosnumero","Keskustaetäisyys_km"
"Kamppi","00100","1h, kk, kph","kt",29,1,208000,7172,1935,"on","tyyd.","oma","F",5,4,0.304470531084749
"Etu-töölö","00100","1h+k+kph+alkovi...","kt",44,1,300000,6818,1915,"on","hyvä","oma","D",5,1,0.304470531084749
"Kluuvi","00100","1h, avok, kph, ...","kt",27,1,239500,8870,1974,"on","hyvä","oma","D",9,9,0.304470531084749
"Etu-töölö","00100","1h, avok., kph,...","kt",24,1,233000,9510,1925,"on","hyvä","oma","E",6,6,0.304470531084749
"Kamppi","00100","1h,kk,kph","kt",25,1,198000,7920,1925,"on","tyyd.","oma","D",8,2,0.304470531084749
"Kamppi","00100","1h,avok,kph","kt",29,1,265000,9138,1925,"on","tyyd.","oma","D",7,7,0.304470531084749
"Etu-töölö","00100","1h, ks, kph","kt",19,1,173000,9105,1926,"on","tyyd.","oma","E",8,5,0.304470531084749
"Kamppi","00100","1h, avok, kph/wc","kt",19,1,175400,9135,1932,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h+kk","kt",31,1,225000,7212,1924,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h+kk","kt",31,1,225000,7212,1924,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h, kk, kph","kt",30,1,176000,5867,1936,"on","tyyd.","oma","E",4,1,0.304470531084749
"Etu-töölö","00100","1h+kk","kt",28,1,237000,8316,1939,"on","hyvä","oma","F",5,2,0.304470531084749
"Etu-töölö","00100","1h, kk, kph","kt",33,1,186000,5636,1938,"on","huono","oma","E",6,5,0.304470531084749
"Etu-töölö","00100","1h+k+kph+alkovi...","kt",40,1,245000,6125,1936,"on","tyyd.","oma","F",7,7,0.304470531084749
"Kamppi","00100","1h, avok, kph/wc","kt",17,1,162935,9154,1932,"ei","hyvä","oma","E",6,4,0.304470531084749
"Kamppi","00100","1h+k+kph","kt",19,1,183000,9632,1911,"on","hyvä","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h,k,alk,kh (Yj...","kt",48,1,320800,6614,1915,"on","hyvä","oma","D",6,3,0.304470531084749
"Töölö","00100","1h, kk, kph","kt",22,1,187000,8311,1928,"on","tyyd.","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","1h+kph","kt",18,1,166000,9222,1912,"on","hyvä","oma","G",5,1,0.304470531084749
"Etu-töölö","00100","1h, k, kph","kt",41,1,250000,5967,1927,"on","huono","oma","D",7,5,0.304470531084749
"Etu-töölö","00100","1h, avok, kph","kt",32,1,260000,8125,1929,"ei","tyyd.","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","1h+kk+kph","kt",24,1,199000,8122,1935,"on","tyyd.","oma","D",7,4,0.304470531084749
"Etu-töölö","00100","1h, avok, alk, kph","kt",41,1,310000,7561,1928,"on","hyvä","oma","F",5,4,0.304470531084749
"Etu-töölö","00100","1h, avok, kph","kt",24,1,196000,8167,1929,"on","hyvä","oma","E",7,6,0.304470531084749
"Etu-töölö","00100","1h+k","kt",28,1,171000,6107,1915,"on","tyyd.","oma","G",6,1,0.304470531084749
"Etu-töölö","00100","1h+avok+vh+kph","kt",33,1,295000,8806,1939,"on","hyvä","oma","F",6,4,0.304470531084749
"Kamppi","00100","1h+k+kph+parvi","kt",26,1,233000,8792,1911,"on","hyvä","oma","D",6,5,0.304470531084749
"Kamppi","00100","1h+k+kph+erilli...","kt",19,1,182000,9579,1911,"on","hyvä","oma","D",6,5,0.304470531084749
"Kamppi","00100","1h+k+kph+parvi","kt",19,1,171858,8768,1911,"on","hyvä","oma","D",5,4,0.304470531084749
"Etu-töölö","00100","2h+avok+kph","kt",69,2,424000,6145,1928,"on","hyvä","oma","D",6,3,0.304470531084749
"Kamppi","00100","2h, k, kh, parveke","kt",62,2,285000,4560,1988,"on","tyyd.","vuokra","D",8,6,0.304470531084749
"Etu-töölö","00100","2h, avok, kph j...","kt",58,2,350000,6034,1931,"on","huono","oma","E",7,4,0.304470531084749
"Etu-töölö","00100","2h, kk, kph","kt",38,2,300000,7895,1923,"on","hyvä","oma","D",6,3,0.304470531084749
"Etu-töölö","00100","2h, k, kph, et","kt",56,2,423000,7487,1926,"on","hyvä","oma","D",6,2,0.304470531084749
"Kluuvi","00100","2h, k, kph, las...","kt",58,2,420000,7241,1974,"on","hyvä","oma","D",9,9,0.304470531084749
"Etu-töölö","00100","1-2h+ak+kph+alk...","kt",41,2,280000,6829,1934,"on","hyvä","oma","E",4,1,0.304470531084749
"Kamppi","00100","2h+kt+kph+vh (Y...","kt",50,2,380000,7600,1932,"on","hyvä","oma","D",7,6,0.304470531084749
"Etu-töölö","00100","2h+avok.+kph","kt",52,2,434500,8356,1928,"on","hyvä","oma","E",6,2,0.304470531084749
"Etu-töölö","00100","2h, avokeitti...","kt",40,2,320000,8000,1922,"on","hyvä","oma","D",6,1,0.304470531084749
"Kamppi","00100","2h, k, kph","kt",66,2,420000,6364,1929,"on","tyyd.","oma","E",5,2,0.304470531084749
"Kamppi","00100","2h, k","kt",63,2,420000,6614,1928,"on","tyyd.","oma","E",6,6,0.304470531084749
"Etu-töölö","00100","2h+alkovi+kk+kph","kt",56,2,345000,6106,1920,"on","tyyd.","oma","F",6,2,0.304470531084749
"Etu-töölö","00100","2h, avok, kph, wc","kt",46,2,349000,7505,1927,"on","hyvä","oma","E",6,2,0.304470531084749
"Etu-töölö","00100","2h+k+kph","kt",72,2,416000,5730,1926,"on","tyyd.","oma","F",6,1,0.304470531084749
"Etu-töölö","00100","2h+k+kph","kt",46,2,355500,7728,1932,"on","hyvä","oma","F",5,2,0.304470531084749
"Kamppi","00100","2h, avok, kph, ...","kt",50,2,280000,5600,1988,"on","hyvä","vuokra","E",8,3,0.304470531084749
"Etu-töölö","00100","2h, k, kph, eri...","kt",66,2,563500,8538,1922,"on","hyvä","oma","G",6,6,0.304470531084749
"Kamppi","00100","2h,k","kt",63,2,266931,4237,2001,"on","tyyd.","vuokra","D",7,5,0.304470531084749
"Etu-töölö","00100","2-3 huon, keitt...","kt",91,2,523000,5728,1926,"on","huono","oma","F",7,4,0.304470531084749
"Etu-töölö","00100","2-3 huon, keitt...","kt",91,2,523000,5728,1926,"on","huono","oma","F",7,4,0.304470531084749
"Etu-töölö","00100","2h+halli+k+kph+...","kt",81,2,448250,5500,1936,"on","hyvä","oma","F",7,5,0.304470531084749
"Etu-töölö","00100","2h, k ja kph","kt",72,2,455000,6259,1912,"on","tyyd.","oma","F",5,5,0.304470531084749
"Etu-töölö","00100","2h,avok,kph","kt",45,2,305000,6703,1928,"on","tyyd.","oma","F",6,5,0.304470531084749
"Etu-töölö","00100","2h+avok+kph+vh","kt",64,2,532000,8248,1939,"on","hyvä","oma","F",6,6,0.304470531084749
"Etu-töölö","00100","2h, k, kh","kt",65,2,394000,6015,1930,"on","tyyd.","oma","F",6,2,0.304470531084749
"Etu-töölö","00100","2h+kph+sauna","kt",50,2,398000,7960,1914,"on","hyvä","oma","D",6,6,0.304470531084749
"Etu-töölö","00100","2h, avokeitti...","kt",46,2,290000,6304,1927,"on","tyyd.","oma","D",6,3,0.304470531084749
"Etu-töölö","00100","2h, alkovi, kk,...","kt",44,2,370000,8277,1924,"on","hyvä","oma","D",6,6,0.304470531084749
"Etu-töölö","00100","2h, avok, kph, wc","kt",46,2,359000,7720,1927,"on","hyvä","oma","E",6,5,0.304470531084749
"Kamppi","00100","2h, kt, kph","kt",50,2,325000,6500,1890,"on","hyvä","oma","E",6,3,0.304470531084749
"Etu-töölö","00100","1 h, alkovi, kp...","kt",51,2,370000,7171,1925,"on","tyyd.","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","2h, k, kph","kt",48,2,392124,8169,1926,"on","hyvä","oma","D",6,5,0.304470531084749
"Etu-töölö","00100","2-3h+k+kph","kt",75,2,420000,5563,1928,"on","hyvä","oma","F",6,2,0.304470531084749
"Kamppi","00100","2h,avok,kph,eri...","kt",37,2,285000,7703,1937,"on","hyvä","oma","F",6,6,0.304470531084749
"Kamppi","00100","2h, k, kph","kt",46,2,340000,7391,1932,"on","hyvä","oma","D",7,3,0.304470531084749
"Etu-töölö","00100","2h, k, kph, ete...","kt",52,2,350000,6731,1926,"on","tyyd.","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","2h ja kk","kt",40,2,250000,6250,1935,"on","huono","oma","D",7,6,0.304470531084749
"Kamppi","00100","1-2h+k+kph+wc","kt",47,2,400000,8386,1905,"ei","huono","oma","D",3,1,0.304470531084749
"Etu-töölö","00100","2h+avok+kph+vh+et","kt",56,2,300000,5357,1931,"on","tyyd.","oma","E",7,1,0.304470531084749
"Etu-töölö","00100","2h+k+kph","kt",37,2,263000,7108,1936,"on","tyyd.","oma","E",6,4,0.304470531084749
"Kamppi","00100","2h+k+kph+erill....","kt",46,2,305000,6587,1911,"on","hyvä","oma","D",4,1,0.304470531084749
"Kamppi","00100","2h, kt, kph, er...","kt",47,2,355000,7474,1890,"on","hyvä","oma","E",6,3,0.304470531084749
"Etu-töölö","00100","2h, k, kph, wc","kt",80,2,415000,5188,1928,"on","huono","oma","F",6,1,0.304470531084749
"Kluuvi","00100","2h+avok.+kph","kt",50,2,485000,9700,2012,"on","hyvä","oma","D",6,4,0.304470531084749
"Etu-töölö","00100","2h+k+alkovi+kph","kt",73,2,525000,7192,1928,"on","hyvä","oma","E",6,2,0.304470531084749
"Kluuvi","00100","2h, k, kph, vh,...","kt",52,2,492000,9371,2013,"on","hyvä","oma","D",6,3,0.304470531084749
"Kamppi","00100","2h, k, kph","kt",54,2,350000,6481,1906,"on","hyvä","oma","G",4,1,0.304470531084749
"Etu-töölö","00100","3h, työtil...","kt",117,3,770000,6537,1927,"on","tyyd.","oma","D",6,4,0.304470531084749
"Etu-töölö","00100","3h, avok, kph, wc","kt",78,3,580000,7436,1936,"on","hyvä","oma","E",6,3,0.304470531084749
"Etu-töölö","00100","3h+k+kph+wc","kt",84,3,605000,7160,1927,"on","hyvä","oma","F",7,7,0.304470531084749
"Etu-töölö","00100","3h, avokeitti...","kt",81,3,690000,8466,1980,"on","hyvä","oma","D",5,5,0.304470531084749
"Etu-töölö","00100","3h, k, kph, par...","kt",70,3,520000,7407,1920,"on","hyvä","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","3h, k, kph, eri...","kt",102,3,565000,5539,1924,"on","huono","oma","D",6,1,0.304470531084749
"Etu-töölö","00100","3-4h,k,kph, wc/...","kt",100,3,698000,6980,1925,"ei","tyyd.","oma","D",6,3,0.304470531084749
"Etu-töölö","00100","3h, avokeitti...","kt",72,3,474000,6583,1929,"on","hyvä","oma","E",7,2,0.304470531084749
"Etu-töölö","00100","3h, k, kph, eri...","kt",70,3,665000,9433,1911,"on","hyvä","oma","D",7,2,0.304470531084749
"Etu-töölö","00100","3h+avok+kph+sauna","kt",66,3,490000,7391,1911,"ei","hyvä","oma","E",5,2,0.304470531084749
"Etu-töölö","00100","3h, k, vh, kph, wc","kt",82,3,588000,7101,1923,"on","tyyd.","oma","F",6,4,0.304470531084749
"Kamppi","00100","2h+k+erillinen ...","kt",70,3,605000,8643,1905,"on","tyyd.","oma","F",5,2,0.304470531084749
"Kluuvi","00100","3h+k+kph+s+khh+...","kt",120,3,900000,7500,1912,"ei","hyvä","oma","D",6,2,0.304470531084749
"Etu-töölö","00100","3h, k, sauna ja...","kt",89,3,720000,8090,2014,"on","hyvä","oma","C",7,3,0.304470531084749
"Etu-töölö","00100","2-3h+halli+kk(Y...","kt",78,3,455000,5833,1935,"on","huono","oma","F",7,5,0.304470531084749
"Etu-töölö","00100","2-3h+k+kph","kt",71,3,430000,6056,1933,"ei","tyyd.","oma","D",3,3,0.304470531084749
"Etu-töölö","00100","3-4h+k+2x kph+wc","kt",110,3,535000,4864,1934,"on","hyvä","oma","D",7,3,0.304470531084749
"Etu-töölö","00100","3h, avokeitti...","kt",78,3,599000,7679,1928,"on","hyvä","oma","D",6,2,0.304470531084749
"Etu-töölö","00100","2-3 h, avokeitt...","kt",97,3,875000,9021,1935,"on","hyvä","oma","F",7,7,0.304470531084749
"Etu-töölö","00100","3h, k, kph, eri...","kt",121,3,925000,7613,1928,"on","tyyd.","oma","F",7,7,0.304470531084749
"Etu-töölö","00100","4h, k, kph, wc,...","kt",108,4,628000,5788,1928,"on","tyyd.","oma","D",7,7,0.304470531084749
"Etu-töölö","00100","4h, k, kph, wc","kt",109,4,800300,7342,1923,"on","hyvä","oma","D",6,3,0.304470531084749
"Etu-töölö","00100","5h, avokeitti...","kt",186,4,1240000,6667,1927,"on","hyvä","oma","E",7,5,0.304470531084749
"Etu-töölö","00100","5h+k+2kph+3wc+h...","kt",189,4,1520000,8042,1926,"ei","tyyd.","oma","E",7,6,0.304470531084749
"Etu-töölö","00100","4h+k+kph+wc+halli","kt",104,4,775000,7416,1926,"on","hyvä","oma","E",6,2,0.304470531084749
"Etu-töölö","00100","5-6h+k+kph+ph+2...","kt",187,4,1298000,6941,1927,"on","hyvä","oma","D",6,3,0.304470531084749
"Töölö","00100","5h,k,2xkph,wc,h...","kt",137,4,322993,2358,1927,"on","tyyd.","oma","E",6,6,0.304470531084749
"Töölö","00100","5h,k,2xkph,wc,h...","kt",137,4,562007,4102,1927,"on","tyyd.","oma","E",6,6,0.304470531084749
"Etu-töölö","00100","5h, eteinen, ha...","kt",134,4,830000,6166,1922,"on","huono","oma","D",7,1,0.304470531084749
"Etu-töölö","00100","3-4 h, k, kph, ...","kt",128,4,880000,6875,1926,"on","hyvä","oma","D",6,2,0.304470531084749
"Etu-töölö","00100","4h+k+kph+wc (Yj...","kt",111,4,785000,7072,1924,"on","hyvä","oma","E",6,1,0.304470531084749
"Etu-töölö","00100","3h, avok, rt, 2...","kt",130,4,900000,6923,1910,"on","tyyd.","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","3h, avok, rt, 2...","kt",130,4,900000,6923,1910,"on","tyyd.","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","4h, keittiö...","kt",168,4,1600000,9507,1924,"on","hyvä","oma","D",6,6,0.304470531084749
"Etu-töölö","00100","5h+k","kt",162,4,975000,5989,1926,"on","tyyd.","oma","F",7,3,0.304470531084749
"Etu-töölö","00100","5h+k+kph+wc","kt",150,4,1040000,6901,1924,"on","tyyd.","oma","D",6,3,0.304470531084749
"Etu-töölö","00100","4h, halli,k, kp...","kt",109,4,615000,5601,1921,"on","huono","oma","D",6,5,0.304470531084749
"Kamppi","00100","4h, avok, kph, ...","kt",114,4,745000,6507,1937,"on","tyyd.","oma","F",6,3,0.304470531084749
"Etu-töölö","00100","4h+k+2x kph +sa...","kt",144,4,1250000,8681,1926,"on","hyvä","oma","F",7,6,0.304470531084749
"Punavuori","00120","1h, avok, kph, ...","kt",43,1,265000,6163,1914,"ei","tyyd.","oma","F",5,4,0.697859933338016
"Punavuori","00120","1h, kk, kph, pa...","kt",27,1,200000,7407,1961,"on","hyvä","oma","F",7,4,0.697859933338016
"Punavuori","00120","1h+k","kt",43,1,373000,8674,1875,"ei","hyvä","oma","E",5,2,0.697859933338016
"Kamppi","00120","1h+k+kph+parvi","kt",31,1,234000,7429,1891,"on","tyyd.","oma","G",5,4,0.697859933338016
"Punavuori","00120","2k,kk","kt",41,2,302000,7208,1927,"on","tyyd.","oma","F",5,2,0.697859933338016
"Kamppi","00120","2h+k+kh","kt",54,2,355000,6574,1891,"on","tyyd.","oma","E",5,3,0.697859933338016
"Punavuori","00120","2h+k+kph","kt",43,2,326000,7494,1925,"ei","tyyd.","oma","E",3,3,0.697859933338016
"Punavuori","00120","2h, k, kph","kt",40,2,350000,8642,1927,"ei","hyvä","oma","E",4,4,0.697859933338016
"Punavuori","00120","2h, k, kph","kt",61,2,415000,6748,1912,"on","hyvä","oma","F",4,2,0.697859933338016
"Punavuori","00120","2h+kk+kph","kt",30,2,275000,8987,1912,"ei","tyyd.","oma","E",5,2,0.697859933338016
"Punavuori","00120","2h, avokeitti...","kt",57,2,380000,6586,1936,"on","hyvä","oma","G",5,2,0.697859933338016
"Punavuori","00120","2h, avok, kph, ...","kt",41,2,310000,7470,1927,"on","hyvä","oma","F",5,4,0.697859933338016
"Punavuori","00120","2h,kk","kt",60,2,340000,5667,1939,"on","tyyd.","oma","E",5,2,0.697859933338016
"Punavuori","00120","2h,k,erill.wc,l...","kt",71,2,431000,6070,1939,"on","tyyd.","oma","E",5,4,0.697859933338016
"Punavuori","00120","2h+k+kph+parv","kt",49,2,390000,7959,1962,"on","tyyd.","oma","F",5,5,0.697859933338016
"Kamppi","00120","2h, kk, kph, sa...","kt",49,2,408000,8327,1905,"on","hyvä","oma","G",3,2,0.697859933338016
"Punavuori","00120","2h, kk, kph, pa...","kt",39,2,300000,7595,1961,"on","hyvä","oma","E",5,5,0.697859933338016
"Punavuori","00120","2h, k, kph, s","kt",65,2,522500,8038,1883,"on","hyvä","oma","F",3,1,0.697859933338016
"Punavuori","00120","3h+k+khh+s+2wc+...","kt",100,3,942000,9401,1898,"on","hyvä","oma","E",6,2,0.697859933338016
"Punavuori","00120","3h, k, kph, halli","kt",125,3,550000,4400,1927,"on","tyyd.","oma","E",5,3,0.697859933338016
"Punavuori","00120","3h, k, kph, vh","kt",63,3,428000,6794,1959,"on","tyyd.","oma","F",5,2,0.697859933338016
"Punavuori","00120","3h+k+kph","kt",53,3,440000,8302,1907,"ei","tyyd.","oma","G",5,4,0.697859933338016
"Punavuori","00120","3h, avok, kph, ...","kt",84,3,610000,7262,1927,"on","hyvä","oma","E",5,2,0.697859933338016
"Punavuori","00120","3-4h, avok, kph...","kt",102,3,785000,7696,1927,"on","hyvä","oma","F",5,4,0.697859933338016
"Punavuori","00120","4h, avok, 2 kph...","kt",102,4,1054000,10333,1928,"on","hyvä","oma","E",6,6,0.697859933338016
"Kamppi","00120","4h+k+kph+wc","kt",127,4,600000,4702,1925,"on","tyyd.","oma","E",5,2,0.697859933338016
"Kamppi","00120","3-4h+k+kph+parv.","kt",125,4,880000,7034,1903,"on","tyyd.","oma","D",5,2,0.697859933338016
"Punavuori","00120","4h, k, 2 kph","kt",112,4,915000,8170,1894,"on","hyvä","oma","F",5,2,0.697859933338016
"Ullanlinna","00120","5h+k+kph+2wc (Y...","kt",123,4,925000,7508,1928,"on","tyyd.","oma","E",7,6,0.697859933338016
"Keskusta","00120","3h, k, 2kph, th...","kt",118,4,1220000,10339,1913,"on","hyvä","oma","G",7,3,0.697859933338016
"Punavuori","00120","3-4h, k, kph, v...","kt",115,4,752000,6539,1875,"ei","hyvä","oma","E",4,4,0.697859933338016
"Punavuori","00120","4h, avok, kph","kt",75,4,648000,8640,1927,"on","hyvä","oma","E",5,4,0.697859933338016
"Punavuori","00120","3-4h, k, rt, s,...","kt",88,4,725000,8192,1980,"on","hyvä","oma","F",9,6,0.697859933338016
"Kamppi","00120","4h, k, rt, kph, wc","kt",115,4,920000,8000,1912,"on","hyvä","oma","E",5,5,0.697859933338016
"Punavuori","00120","4h, k, 2*kph, s...","kt",130,4,900000,6897,2003,"on","tyyd.","oma","D",8,4,0.697859933338016
"Punavuori","00120","5h, k, kph/wc/s...","kt",109,4,760000,6972,1982,"on","hyvä","oma","D",7,6,0.697859933338016
"Kaartinkaupunki","00130","1h,kk","kt",21,1,172000,8190,1927,"ei","tyyd.","oma","E",3,1,0.737246448804882
"Kaartinkaupunki","00130","1h,kk (Yj 1h+kk)","kt",22,1,179000,8136,1927,"ei","tyyd.","oma","E",3,1,0.737246448804882
"Ullanlinna","00130","1h+et+k+suihkuh...","kt",27,1,210000,7778,1890,"ei","tyyd.","oma","G",5,4,0.737246448804882
"Kaartinkaupunki","00130","2h+kk","kt",38,2,273000,7073,1935,"on","tyyd.","oma","D",6,2,0.737246448804882
"Kaartinkaupunki","00130","2h, avok, kph","kt",55,2,390000,7091,1927,"on","hyvä","oma","E",6,2,0.737246448804882
"Kaartinkaupunki","00130","2h+k+kph+s+eril...","kt",77,2,630000,8129,1907,"on","hyvä","oma","F",6,3,0.737246448804882
"Ullanlinna","00140","1h, kk, kph","kt",27,1,219000,8111,1928,"on","tyyd.","oma","E",8,3,1.55112331077916
"Ullanlinna","00140","1h,kk,kph,vh,pa...","kt",25,1,240000,9600,1963,"on","tyyd.","oma","E",6,6,1.55112331077916
"Ullanlinna","00140","1 h","kt",28,1,285000,10179,1929,"on","tyyd.","oma","E",8,3,1.55112331077916
"Ullanlinna","00140","1h+k","kt",29,1,280000,9492,1903,"on","hyvä","oma","E",3,3,1.55112331077916
"Ullanlinna","00140","1h, kk, kph","kt",29,1,270000,9153,1961,"on","hyvä","oma","F",6,6,1.55112331077916
"Ullanlinna","00140","1h, k, alkovi, ...","kt",41,1,327000,7976,1907,"ei","hyvä","oma","F",3,3,1.55112331077916
"Ullanlinna","00140","1h,halli,kk,kph","kt",35,1,210000,6000,1937,"on","hyvä","oma","E",6,1,1.55112331077916
"Ullanlinna","00140","1h, kk, kph, vh...","kt",24,1,184336,7681,1961,"on","hyvä","oma","D",2,2,1.55112331077916
"Ullanlinna","00140","1h,tupakeitti...","kt",28,1,255000,9075,1904,"ei","tyyd.","oma","G",2,2,1.55112331077916
"Ullanlinna","00140","1h, k, kph, ran...","kt",29,1,272198,9227,1978,"on","hyvä","oma","E",6,3,1.55112331077916
"Ullanlinna","00140","1h, avok, alkov...","kt",49,1,373885,7508,1907,"ei","hyvä","oma","F",3,2,1.55112331077916
"Ullanlinna","00140","1h+avok+kph (Yj...","kt",33,1,242000,7224,1933,"on","hyvä","oma","E",6,1,1.55112331077916
"Ullanlinna","00140","1h, avok, et, kph","kt",33,1,250000,7576,1961,"on","hyvä","oma","F",5,1,1.55112331077916
"Ullanlinna","00140","1h+kk+sh","kt",24,1,175000,7292,1937,"on","tyyd.","oma","E",6,3,1.55112331077916
"Ullanlinna","00140","1h+keitt.","kt",34,1,230000,6765,1929,"on","tyyd.","oma","F",6,1,1.55112331077916
"Ullanlinna","00140","1h + kph + kk","kt",29,1,195000,6610,1935,"on","tyyd.","oma","E",5,4,1.55112331077916
"Ullanlinna","00140","2h+kk+kph","kt",50,2,410000,8200,1906,"on","hyvä","oma","F",5,1,1.55112331077916
"Ullanlinna","00140","2h, avok, kph","kt",57,2,510000,8870,1907,"on","hyvä","oma","F",4,1,1.55112331077916
"Ullanlinna","00140","1h, k, parvi, k...","kt",48,2,367500,7656,1911,"on","tyyd.","oma","E",5,3,1.55112331077916
"Ullanlinna","00140","2h,k","kt",86,2,547000,6360,1929,"on","tyyd.","oma","F",6,2,1.55112331077916
"Ullanlinna","00140","2h, avok, kph","kt",49,2,388000,7918,1907,"ei","hyvä","oma","D",4,2,1.55112331077916
"Ullanlinna","00140","2h, k, halli, v...","kt",65,2,625000,9542,1909,"on","hyvä","oma","F",6,2,1.55112331077916
"Ullanlinna","00140","2h+kk+kph (yj 1...","kt",42,2,330000,7857,1926,"on","tyyd.","oma","E",5,4,1.55112331077916
"Ullanlinna","00140","2h, avok, kph","kt",57,2,530000,9298,1907,"on","hyvä","oma","F",4,2,1.55112331077916
"Ullanlinna","00140","2h, k, kph, par...","kt",54,2,361000,6685,1962,"on","hyvä","oma","E",6,3,1.55112331077916
"Ullanlinna","00140","2h,avok, kph/wc.","kt",44,2,330000,7399,1906,"on","hyvä","oma","F",5,1,1.55112331077916
"Ullanlinna","00140","2h, k, kph, wc,...","kt",57,2,490000,8596,1888,"on","hyvä","oma","E",8,5,1.55112331077916
"Ullanlinna","00140","2h, kk, kph","kt",45,2,378000,8400,1908,"on","hyvä","oma","D",5,2,1.55112331077916
"Ullanlinna","00140","2h, avok, et, e...","kt",50,2,421000,8420,1931,"on","hyvä","oma","F",4,2,1.55112331077916
"Ullanlinna","00140","2h+avok+kph+l.p...","kt",43,2,347001,8070,1962,"on","hyvä","oma","E",6,2,1.55112331077916
"Ullanlinna","00140","2h, k, alkovi, kph","kt",62,2,594000,9581,1908,"on","tyyd.","oma","D",5,5,1.55112331077916
"Ullanlinna","00140","2 h + k","kt",52,2,369000,7042,1906,"ei","huono","oma","E",3,1,1.55112331077916
"Ullanlinna","00140","2h, avok, kph","kt",48,2,359000,7402,1935,"ei","hyvä","oma","F",5,4,1.55112331077916
"Ullanlinna","00140","2h, kk, kph, pa...","kt",49,2,455000,9286,1938,"on","tyyd.","oma","F",7,5,1.55112331077916
"Ullanlinna","00140","1h+k+kph+et","kt",40,2,280000,7000,1909,"on","tyyd.","oma","F",6,2,1.55112331077916
"Ullanlinna","00140","2h, kt, kph, la...","kt",39,2,327500,8397,1961,"on","tyyd.","oma","D",4,3,1.55112331077916
"Ullanlinna","00140","2h, k, kph, sauna","kt",65,2,465000,7154,1909,"on","hyvä","oma","F",6,1,1.55112331077916
"Ullanlinna","00140","2h,k, halli","kt",69,2,350000,5072,1929,"on","tyyd.","oma","F",5,1,1.55112331077916
"Ullanlinna","00140","2h+k+kph","kt",65,2,571500,8725,1908,"on","hyvä","oma","D",6,3,1.55112331077916
"Ullanlinna","00140","2 h+k+kph+lasit...","kt",54,2,371000,6870,1962,"on","tyyd.","oma","E",6,5,1.55112331077916
"Ullanlinna","00140","1-2h, avok, alk...","kt",65,2,530000,8154,1903,"on","hyvä","oma","F",4,1,1.55112331077916
"Ullanlinna","00140","2h, alkovi, k, ...","kt",67,2,518000,7674,1906,"on","tyyd.","oma","E",5,2,1.55112331077916
"Ullanlinna","00140","3h,avokeittiö","kt",82,3,675000,8182,1911,"on","hyvä","oma","F",5,2,1.55112331077916
"Ullanlinna","00140","3h, k, kph, par...","kt",52,3,425000,8095,1888,"on","huono","oma","F",7,2,1.55112331077916
"Ullanlina","00140","3h+kk+kph+halli...","kt",70,3,560000,8000,1935,"on","tyyd.","oma","E",4,4,1.55112331077916
"Ullanlinna","00140","3h+k+palv.h. (y...","kt",103,3,930000,9029,1926,"on","hyvä","oma","E",5,5,1.55112331077916
"Ullanlinna","00140","3h, k, kph, eri...","kt",102,3,1076000,10549,1902,"on","hyvä","oma","F",5,4,1.55112331077916
"Ullanlinna","00140","3h+k","kt",65,3,425000,6538,1929,"on","tyyd.","oma","F",7,4,1.55112331077916
"Ullanlinna","00140","2 h+iso keitti&...","kt",112,3,900000,8036,1929,"on","tyyd.","oma","E",8,5,1.55112331077916
"Ullanlinna","00140","Oh+3 mh+keitti&...","kt",210,4,1550000,7381,1929,"on","hyvä","oma","F",5,2,1.55112331077916
"Kaivopuisto","00140","5h+k+et+2kph+2w...","kt",131,4,1650000,12595,1926,"ei","tyyd.","oma","D",3,3,1.55112331077916
"Punavuori","00150","1h+avok+kph+par...","kt",26,1,285000,10962,2023,"on","hyvä","oma","A",12,3,1.21472962132615
"Punavuori","00150","1h, kk,et, kph,...","kt",17,1,175000,10294,1931,"on","hyvä","oma","F",5,4,1.21472962132615
"Eira","00150","1h1","kt",24,1,172649,7194,1927,"on","huono","oma","D",6,4,1.21472962132615
"Punavuori","00150","1h, pienoiskeit...","kt",11,1,114000,10364,1912,"ei","tyyd.","oma","D",5,1,1.21472962132615
"Punavuori","00150","1h, kk, kph","kt",26,1,197000,7577,1960,"on","hyvä","oma","F",5,2,1.21472962132615
"Punavuori","00150","1h+avok+kph (Yj...","kt",23,1,185000,8043,1928,"on","tyyd.","oma","E",4,4,1.21472962132615
"Hernesaari","00150","1h+k+alkovi+kph","kt",45,1,383000,8418,1911,"on","hyvä","oma","F",7,6,1.21472962132615
"Punavuori","00150","1h, kk, alkovi,...","kt",34,1,257000,7559,1938,"on","hyvä","oma","F",5,4,1.21472962132615
